image_path,text_description,label
agumentation data1/Apple___Apple_scab/image (111).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (112).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (113).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (114).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (115).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (116).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (117).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (118).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (119).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (12).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (120).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (121).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (122).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (123).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (124).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (125).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (126).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (127).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (128).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (129).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (13).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (130).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (131).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (132).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (133).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (134).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (135).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (136).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (137).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (138).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (139).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (14).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (140).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (141).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (142).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (143).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (144).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (145).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (146).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (147).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (148).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (149).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (15).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (150).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (151).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (152).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (153).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (154).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (155).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (156).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (157).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (158).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (159).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (16).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (160).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (161).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (162).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (163).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (164).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (165).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (166).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (167).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (168).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (169).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (17).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (170).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (171).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (172).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (173).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (174).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (175).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (176).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (177).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (178).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (179).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (18).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (180).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (181).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (182).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (183).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (184).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (185).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (186).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (187).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (188).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (189).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (19).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (190).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (191).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (192).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (193).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (194).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (195).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (196).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (197).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (198).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (199).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (2).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (20).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (200).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (201).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (202).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (203).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (204).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (205).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (206).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (207).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (208).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (209).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (21).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (210).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (211).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (212).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (213).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (214).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (215).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (216).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (217).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (218).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (219).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (22).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (220).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (221).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (222).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (223).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (224).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (225).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (226).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (227).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (228).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (229).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (23).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (230).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (231).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (232).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (233).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (234).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (235).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (236).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (237).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (238).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (239).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (24).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (240).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (241).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (242).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (243).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (244).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (245).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (246).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (247).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (248).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (249).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (25).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (250).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (251).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (252).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (253).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (254).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (255).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (256).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (257).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (258).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (259).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (26).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (260).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (261).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (262).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (263).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (264).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (265).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (266).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (267).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (268).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (269).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (27).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (270).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (271).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (272).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (273).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (274).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
agumentation data1/Apple___Apple_scab/image (275).JPG,"Apple leaf shows olive-green to brown velvety spots, leading to scab-like lesions.",Apple___Apple_scab
